FishID,RelDate,Location,Vessel,NetSet,MeshSize,FL,TL,TagNum,TagVal,RelCond,StuType,PitNum,LenCat,ageing_ID
23639,8/6/2014,SsnB,StrII,1,7,73,82,,0,NA,NoTag,0,sub,4
23640,8/6/2014,SsnB,StrII,1,7,83,93,,0,NA,NoTag,0,sub,3
23641,8/6/2014,SsnB,StrII,1,7,86,97,,0,NA,NoTag,0,sub,5
23642,8/6/2014,SsnB,StrII,1,8,76,85,,0,NA,NoTag,0,sub,6
23643,8/6/2014,SsnB,StrII,1,8,76,85,,0,NA,NoTag,0,sub,10
23644,8/6/2014,SsnB,StrII,1,8,77,87,,0,NA,NoTag,0,sub,1
23645,8/6/2014,SsnB,StrII,1,8,79,89,,0,NA,NoTag,0,sub,8
23646,8/6/2014,SsnB,StrII,1,8,84,94,,0,NA,NoTag,0,sub,7
23647,8/6/2014,SsnB,StrII,2,6,85,95,,0,NA,NoTag,0,sub,9
23648,8/6/2014,SsnB,StrII,2,7,76,85,,0,NA,NoTag,0,sub,2
23649,8/6/2014,SsnB,StrII,2,8,88,99,,0,NA,NoTag,0,sub,11
23650,8/6/2014,SsnB,StrII,3,8,81,91,,0,NA,NoTag,0,sub,12
23651,8/6/2014,SsnB,StrII,4,7,107,120,FF1987,50,good,Tag,NA,leg,
23652,8/6/2014,SsnB,StrII,4,8,98,110,,0,NA,NoTag,0,sub,13
23653,8/6/2014,SsnB,StrII,4,8,132,147,ST12987,20,good,Tag,NA,leg,
23654,8/6/2014,SsnB,StrII,5,6,81,91,,0,NA,NoTag,0,sub,16
23655,8/6/2014,SsnB,StrII,5,7,83,93,,0,NA,NoTag,0,sub,15
23656,8/6/2014,SsnB,StrII,5,7,105,118,HH1987,100,good,Tag,NA,leg,
23657,8/6/2014,SsnB,StrII,5,8,94,105,,0,NA,NoTag,0,sub,14
23658,8/7/2014,SsnB,StrII,1,8,83,93,,0,NA,NoTag,0,sub,17
23659,8/7/2014,SsnB,StrII,1,6,70,79,,0,NA,NoTag,0,sub,18
23660,8/7/2014,SsnB,StrII,1,6,73,82,,0,NA,NoTag,0,sub,19
23661,8/7/2014,SsnB,StrII,2,0,73,82,,0,NA,NoTag,0,sub,26
23663,8/7/2014,SsnB,StrII,1,6,67,75,,0,NA,NoTag,0,sub,20
23664,8/7/2014,SsnB,StrII,1,8,93,104,,0,NA,NoTag,0,sub,21
23665,8/7/2014,SsnB,StrII,2,0,82,92,,0,NA,NoTag,0,sub,22
23666,8/7/2014,SsnB,StrII,2,8,86,97,,0,NA,NoTag,0,sub,23
23667,8/7/2014,SsnB,StrII,2,8,82,92,,0,NA,NoTag,0,sub,25
23668,8/7/2014,SsnB,StrII,2,0,77,87,,0,NA,NoTag,0,sub,27
23669,8/7/2014,SsnB,StrII,2,0,79,89,,0,NA,NoTag,0,sub,29
23670,8/7/2014,SsnB,StrII,2,0,78,88,,0,NA,NoTag,0,sub,30
23671,8/7/2014,SsnB,StrII,2,0,69,78,,0,NA,NoTag,0,sub,31
23672,8/7/2014,SsnB,StrII,2,0,93,104,,0,NA,NoTag,0,sub,32
23673,8/7/2014,SsnB,StrII,2,0,75,84,,0,NA,NoTag,0,sub,33
23674,8/7/2014,SsnB,StrII,2,0,90,101,,0,NA,NoTag,0,sub,34
23675,8/7/2014,SsnB,StrII,2,0,77,87,,0,NA,NoTag,0,sub,35
23676,8/7/2014,SsnB,StrII,2,0,55,62,,0,NA,NoTag,0,sub,36
23677,8/7/2014,SsnB,StrII,2,0,87,98,,0,NA,NoTag,0,sub,37
23678,8/7/2014,SsnB,StrII,2,7,89,100,,0,NA,NoTag,0,sub,38
23679,8/7/2014,SsnB,StrII,2,7,79,89,,0,NA,NoTag,0,sub,39
23680,8/7/2014,SsnB,StrII,2,7,55,62,,0,NA,NoTag,0,sub,40
23681,8/7/2014,SsnB,StrII,3,8,75,84,,0,NA,NoTag,0,sub,41
23682,8/7/2014,SsnB,StrII,3,8,74,83,,0,NA,NoTag,0,sub,42
23683,8/7/2014,SsnB,StrII,3,7,78,88,,0,NA,NoTag,0,sub,43
23684,8/7/2014,SsnB,StrII,3,7,78,88,,0,NA,NoTag,0,sub,44
23685,8/7/2014,SsnB,StrII,4,6,77,87,,0,NA,NoTag,0,sub,45
23686,8/7/2014,SsnB,StrII,4,8,87,98,,0,NA,NoTag,0,sub,46
23687,8/7/2014,SsnB,StrII,4,8,77,87,,0,NA,NoTag,0,sub,47
23688,8/7/2014,SsnB,StrII,4,7,59,67,,0,NA,NoTag,0,sub,48
23689,8/7/2014,SsnB,StrII,4,7,86,97,,0,NA,NoTag,0,sub,49
23690,8/7/2014,SsnB,StrII,5,7,68,77,,0,NA,NoTag,0,sub,50
23691,8/7/2014,SsnB,StrII,2,0,91,102,,0,NA,NoTag,0,sub,24
23692,8/7/2014,SsnB,StrII,2,6,91,102,,0,NA,NoTag,0,sub,28
23693,8/17/2015,SsnB,StrII,1,8,158,176,HF2133,150,good,Tag,NA,ovr,3100
23694,8/17/2015,SsnB,StrII,2,7,64,72,,0,NA,NoTag,0,sub,3101
23695,8/11/2014,SsnB,NewAl,1,7,92,103,FF2123,50,good,Tag,NA,sub,
23696,8/11/2014,SsnB,NewAl,2,7,77,87,,0,NA,NoTag,0,sub,52
