"LocationCode","Name"
"01A","Sacramento River: Upstream of Red Bluff"
"01B","Sacramento River: Red Bluff to Hwy 32 bridge"
"01C","Sacramento River: Hwy 32 bridge to Colusa"
"02","Sacramento River: Colusa to Knights Landing"
"03","Sacramento River: Knights Landing to Rio Vista"
"04","Sacramento River: Rio Vista to Chipps Island"
"05","Feather River"
"06","American River"
"07","Sacramento Deepwater Ship Channel"
"08","Yolo Bypass"
"09","Montezuma Slough"
"10","Napa River"
"11","Petaluma River"
"12","San Joaquin River: Upstream of HWY 140 bridge"
"13","San Joaquin River:HWY 140 bridge to Stockton"
"14","San Joaquin River: Stockton to Sherman Lake"
"15","Old River"
"16","San Pablo Bay"
"17","Carquinez Strait"
"18","Suisun Bay"
"19","Grizzly Bay"
"20","San Francisco Bay: North of HWY 80"
"21","San Francisco Bay: South of HWY 80"
"22","Pacific Ocean: North of Golden Gate Bridge"
"23","Pacific Ocean: Golden Gate Bridge to Point Sur"
"24","Pacific Ocean: Point Sur to San Diego"
"25","Any reservoir or lake"
"26","Klamath River"
"unk",""
